u,g,r,i,z,redshift,class,snr_r,extinction_r,u_g,g_r,r_i,i_z
19.36382109897981,19.46091786944519,19.58400913930265,19.456053818327515,19.65800941263137,0.2934175533525979,Galaxy,12.992804904697604,0.0361782408208414,-0.0970967704653809,-0.12309126985746133,0.1279553209751363,-0.201955594303854
20.29044320401775,20.20525008963621,19.844603382869693,20.338405033595716,20.22714031838406,1.996765065329827,QSO,12.791106555643251,0.0532817510897724,0.0851931143815392,0.36064670676651644,-0.49380165072602367,0.11126471521165726
20.21245394117799,20.47024216884512,20.20624030165176,20.14537632119544,20.248269736145165,2.0594173155352653,QSO,11.576402599540907,0.0584243931211117,-0.25778822766713105,0.26400186719336105,0.0608639804563218,-0.10289341494972604
19.43958638829802,19.456937165326124,19.670535982945506,19.58054618393099,19.580262085837965,0.090202628793102,Galaxy,12.54091068976911,0.0737653343383887,-0.017350777028102726,-0.21359881761938126,0.0899897990145142,0.0002840980930258752
19.4224185901112,20.29736867414664,19.78986049706719,19.53154529611861,19.53401116140757,0.5406937481300195,Galaxy,15.880706092306516,0.0571689828911964,-0.8749500840354401,0.5075081770794512,0.25831520094858007,-0.002465865288961311
19.79326531050663,19.8629238709582,19.382156679194093,19.891387030820017,19.57058691275096,0.0,Galaxy,13.063736512753746,0.1012112217529069,-0.06965856045156826,0.4807671917641052,-0.5092303516259236,0.3208001180690552
20.001777859064987,19.383317373874952,19.59731983963241,19.664248775851306,19.228070682216853,0.3712076436237913,Galaxy,14.093280337772695,0.0318460039562474,0.6184604851900346,-0.2140024657574564,-0.06692893621889695,0.43617809363445303
19.722008045552087,19.5627208954779,19.3791180650385,19.59146702764229,19.594423891676875,0.4567395860042871,Galaxy,14.996430037637506,0.0326084390841672,0.1592871500741886,0.18360283043939774,-0.21234896260379088,-0.0029568640345836172
20.9818770061645,19.769273157532968,19.878773250155277,20.27174760537317,19.847014664366935,2.3891419772465685,QSO,12.84597990160823,0.0699833356546561,1.212603848631531,-0.10950009262230864,-0.3929743552178948,0.42473294100623704
16.72540553898008,16.427181161146102,16.702121398493087,16.755140688625644,17.124766878160255,0.0,Star,20.376529937611547,0.0747304158758043,0.2982243778339786,-0.2749402373469856,-0.05301929013255702,-0.36962618953461046
20.21515199779584,20.796845407961023,20.30013935749553,20.422066919081704,20.253708339571578,1.8798956900497044,QSO,13.369391379855426,0.0363606838142568,-0.5816934101651832,0.496706050465491,-0.12192756158617257,0.16835857951012656
16.429098941465387,16.98125475678251,16.471958588861405,17.381402372680306,17.52879962506763,0.0018605297079614,Star,20.728624425702677,0.061797534720573,-0.5521558153171213,0.5092961679211037,-0.9094437838189009,-0.14739725238732504
19.15647731629201,19.36945199255892,19.251479992319695,19.354587712979736,19.40118253877619,0.4159446686848881,Galaxy,13.100752330259365,0.0679686854774273,-0.21297467626691002,0.11797200023922372,-0.10310772066004148,-0.04659482579645413
20.55473053151968,20.32888173732303,20.066798537361898,20.012787568036234,20.15881959704396,1.5696657784872166,QSO,12.360501488421717,0.0682010615893356,0.22584879419665072,0.2620831999611326,0.05401096932566318,-0.14603202900772416
19.640934447621927,20.384640187551877,19.65457945027312,20.29449018614553,20.35916610114647,1.74721296914345,QSO,13.848943083707166,0.0845564444986787,-0.7437057399299505,0.7300607372787589,-0.6399107358724123,-0.06467591500094017
19.693361492107663,20.10279625811778,19.8821803372286,20.319198492478854,20.15006257023491,1.8727191231212863,QSO,13.527239392859972,0.0601526334672931,-0.4094347660101185,0.22061592088918047,-0.43701815525025367,0.1691359222439459
16.792057361356648,17.26382794825416,16.93901094180981,16.28660337021023,16.449799179165446,0.0023082466068799,Star,18.34197023586168,0.1243350890002482,-0.47177058689751306,0.3248170064443521,0.6524075715995785,-0.16319580895521568
19.923194020307115,19.88251192725851,20.72016207663023,20.472478422780195,19.93354729970443,1.5640873613824893,QSO,12.555636011063909,0.0946461391920071,0.040682093048605594,-0.8376501493717221,0.24768365385003577,0.5389311230757663
20.64763483394041,19.843074286149765,20.32858581810141,19.75593620166256,20.20166294476309,1.9398452064384848,QSO,11.28563588549216,0.0557865943807603,0.8045605477906435,-0.4855115319516443,0.5726496164388486,-0.4457267431005292
16.128678550754056,15.8023394803628,16.985910589644746,17.137877157725022,16.498485276602846,0.0008039957021549,Star,20.39438244778564,0.0828353448010272,0.3263390703912563,-1.1835711092819459,-0.15196656808027598,0.6393918811221759
19.67755238061602,20.537436853056384,19.49976377998591,19.274885316061773,19.13196937963451,0.2573217826497046,Galaxy,13.419492684827576,0.0837204595581681,-0.8598844724403634,1.0376730730704757,0.22487846392413502,0.14291593642726497
16.088824970272153,17.191337487223294,16.232416124006427,16.579730901408627,16.463920216020508,0.0009448979009577,Star,29.60005350787671,0.1164416442349334,-1.1025125169511405,0.9589213632168665,-0.3473147774022003,0.11581068538811934
19.817686801160075,19.548368570181943,19.689675445775247,19.756583510293662,19.51210092166641,0.1268321855061768,Galaxy,13.129705379096444,0.0619885271325094,0.2693182309781328,-0.14130687559330468,-0.06690806451841524,0.24448258862725325
20.554475663422437,20.213170986868988,19.562486675242035,19.569241040713447,19.683252309341007,0.3261652770508005,Galaxy,12.707643799951972,0.1030201609316172,0.34130467655344887,0.6506843116269536,-0.0067543654714121715,-0.11401126862756072
16.966361016942408,16.675261866421774,16.574473245655952,17.14980089974235,16.986465718927096,0.0011643206593819,Star,25.599880713698354,0.0812556342734743,0.2910991505206333,0.1007886207658224,-0.5753276540863972,0.16333518081525256
16.33834142397288,17.399053785761797,16.97686406581068,16.92513389007823,17.22535454827899,0.0007101243845251,Star,19.134427390929037,0.1247469954934629,-1.0607123617889158,0.42218971995111687,0.051730175732451755,-0.30022065820076094
17.119691319114427,16.822071562916204,16.47489035179258,17.138797271746053,16.712618977535445,0.0012312820227433,Star,22.1268482357776,0.1187267435791822,0.29761975619822323,0.34718121112362255,-0.6639069199534724,0.42617829421060804
20.877506496305,19.638339435716023,19.85724849882949,19.824444336346023,20.709788367717938,1.503188377378532,QSO,13.270747264937608,0.085909379137778,1.2391670605889757,-0.21890906311346825,0.03280416248346896,-0.8853440313719148
19.92575720305669,19.465594071700977,19.941002026248366,20.4964853209308,20.43985173970548,1.5027192960136495,QSO,11.949803317535512,0.0721315213695181,0.4601631313557135,-0.47540795454738927,-0.555483294682432,0.056633581225316476
20.207730969466954,19.6694089483405,19.835210949225857,20.630205485421858,19.9962096774608,1.0668492251458224,QSO,14.84983277806184,0.0951981772903836,0.5383220211264543,-0.1658020008853569,-0.7949945361960005,0.6339958079610568
16.36355862992356,15.88787539566485,16.638701226929093,17.03079573389195,16.72690108858674,0.0018708227703666,Star,20.7812002234072,0.074586499186185,0.4756832342587103,-0.750825831264244,-0.39209450696285586,0.3038946453052098
17.765544986402933,16.9329548327097,16.699218232487958,16.807703630766675,17.3549105940176,0.0015428582244775,Star,18.1523262243865,0.13040921317935,0.8325901536932321,0.23373660022174292,-0.10848539827871662,-0.5472069632509253
19.70462545960788,20.151475394516385,19.66232517928424,19.5153995015578,19.0968303264926,0.3379167479758589,Galaxy,11.92990453528187,0.0823541023453103,-0.44684993490850644,0.48915021523214364,0.14692567772644338,0.41856917506519764
20.26626883595353,20.06340147514433,19.950781032721054,19.59546223872958,19.515495514334194,0.0996033685185804,Galaxy,12.276439299078906,0.0678307210246148,0.2028673608091971,0.11262044242327818,0.35531879399147215,0.07996672439538699
20.022058272777933,19.538640801796703,19.137779651120777,19.869262846657403,19.281789677802266,0.252104428200767,Galaxy,14.312418676482167,0.0662115474177822,0.4834174709812302,0.40086115067592587,-0.7314831955366259,0.5874731688551371
16.597951253311972,16.94739737431467,16.94366266155614,16.798530646935095,17.373330461479565,0.0001287839279741,Star,21.61806278235704,0.0436089324440387,-0.34944612100269623,0.003734712758529213,0.1451320146210442,-0.5747998145444697
19.910565745701504,19.68024561608951,19.919705552416016,19.62965859473494,19.45858587741554,0.2058885440607776,Galaxy,12.87292434533732,0.0966967738427996,0.230320129611993,-0.23945993632650442,0.29004695768107425,0.17107271731940088
19.60338366953713,19.180061294167203,19.92747508581324,19.52795640152288,19.521298414627484,0.3731427601728236,Galaxy,12.196046010268784,0.0553996639208149,0.4233223753699278,-0.7474137916460357,0.39951868429035997,0.00665798689539443
